cash_receipt_id,receipt_number,receipt_date,payer_customer_id,receipt_amount,currency_code,receipt_method,remittance_bank_account,status,created_date,last_update_date
1600000001,RCT20250312000001,2025-03-12 04:32:00,300000900,138419.98,CNY,BANK_TRANSFER,622200000000000900,APPLIED,2024-12-24 04:32:00,2024-12-24 04:32:00
1600000002,RCT20250108000002,2025-01-08 04:32:00,300000900,28817.41,CNY,BANK_TRANSFER,622200000000000900,APPLIED,2024-12-24 04:32:00,2024-12-24 04:32:00
1600000003,RCT20250415000003,2025-04-15 04:32:00,300000900,4394.08,CNY,BANK_TRANSFER,622200000000000900,APPLIED,2024-12-24 04:32:00,2024-12-24 04:32:00
1600000004,RCT20250311000004,2025-03-11 04:32:00,300000900,1829.73,CNY,BANK_TRANSFER,622200000000000900,APPLIED,2024-12-24 04:32:00,2024-12-24 04:32:00
1600000005,RCT20241003000005,2024-10-03 20:33:00,300000955,3601.4,CNY,BANK_TRANSFER,622200000000000955,APPLIED,2024-07-14 20:33:00,2024-07-14 20:33:00
1600000006,RCT20251127000006,2025-11-27 15:49:00,300000938,21296.29,CNY,BANK_TRANSFER,622200000000000938,APPLIED,2025-07-27 15:49:00,2025-07-27 15:49:00
1600000007,RCT20251123000007,2025-11-23 15:49:00,300000938,22158.41,CNY,BANK_TRANSFER,622200000000000938,APPLIED,2025-07-27 15:49:00,2025-07-27 15:49:00
1600000008,RCT20250818000008,2025-08-18 15:49:00,300000938,2541.03,CNY,BANK_TRANSFER,622200000000000938,APPLIED,2025-07-27 15:49:00,2025-07-27 15:49:00
1600000009,RCT20250120000009,2025-01-20 14:00:00,300000950,69572.04,CNY,BANK_TRANSFER,622200000000000950,APPLIED,2024-09-16 14:00:00,2024-09-16 14:00:00
1600000010,RCT20241213000010,2024-12-13 14:00:00,300000950,38161.18,CNY,BANK_TRANSFER,622200000000000950,APPLIED,2024-09-16 14:00:00,2024-09-16 14:00:00
1600000011,RCT20250119000011,2025-01-19 14:00:00,300000950,13655.13,CNY,BANK_TRANSFER,622200000000000950,APPLIED,2024-09-16 14:00:00,2024-09-16 14:00:00
1600000012,RCT20250227000012,2025-02-27 08:26:00,300000235,11577.66,CNY,BANK_TRANSFER,622200000000000235,APPLIED,2025-01-11 08:26:00,2025-01-11 08:26:00
1600000013,RCT20250413000013,2025-04-13 08:26:00,300000235,1894.77,CNY,BANK_TRANSFER,622200000000000235,APPLIED,2025-01-11 08:26:00,2025-01-11 08:26:00
1600000014,RCT20240727000014,2024-07-27 23:17:00,300000932,17871.8,CNY,BANK_TRANSFER,622200000000000932,APPLIED,2024-04-17 23:17:00,2024-04-17 23:17:00
1600000015,RCT20240801000015,2024-08-01 23:17:00,300000932,1892.85,CNY,BANK_TRANSFER,622200000000000932,APPLIED,2024-04-17 23:17:00,2024-04-17 23:17:00
1600000016,RCT20240601000016,2024-06-01 23:17:00,300000932,26030.96,CNY,BANK_TRANSFER,622200000000000932,APPLIED,2024-04-17 23:17:00,2024-04-17 23:17:00
1600000017,RCT20250503000017,2025-05-03 14:11:00,300000513,25645.88,CNY,BANK_TRANSFER,622200000000000513,APPLIED,2025-02-14 14:11:00,2025-02-14 14:11:00
1600000018,RCT20250415000018,2025-04-15 21:39:00,300000365,28701.38,CNY,BANK_TRANSFER,622200000000000365,APPLIED,2025-02-09 21:39:00,2025-02-09 21:39:00
1600000019,RCT20250525000019,2025-05-25 21:39:00,300000365,80943.75,CNY,BANK_TRANSFER,622200000000000365,APPLIED,2025-02-09 21:39:00,2025-02-09 21:39:00
1600000020,RCT20250529000020,2025-05-29 21:39:00,300000365,11053.27,CNY,BANK_TRANSFER,622200000000000365,APPLIED,2025-02-09 21:39:00,2025-02-09 21:39:00
1600000021,RCT20250322000021,2025-03-22 21:39:00,300000365,13568.77,CNY,BANK_TRANSFER,622200000000000365,APPLIED,2025-02-09 21:39:00,2025-02-09 21:39:00
1600000022,RCT20250514000022,2025-05-14 21:39:00,300000365,10065.88,CNY,BANK_TRANSFER,622200000000000365,APPLIED,2025-02-09 21:39:00,2025-02-09 21:39:00
