bank_account_id,bank_name,branch_name,bank_account_num,account_name,account_type,status
600000001,兴业银行,兴业银行深圳宝安支行,622200000000000001,深圳启元供应链科技有限公司,PUBLIC,ACTIVE
600000002,平安银行,平安银行苏州工业园支行,622200000000000002,杭州智联贸易制造有限公司,PUBLIC,ACTIVE
600000003,中国农业银行,中国农业银行深圳福田支行,622200000000000003,深圳嘉禾医疗有限公司,PUBLIC,ACTIVE
600000004,中国农业银行,中国农业银行深圳福田支行,622200000000000004,上海嘉禾贸易有限公司,PUBLIC,ACTIVE
600000005,浦发银行,浦发银行杭州西湖支行,622200000000000005,北京华盛物流制造有限公司,PUBLIC,ACTIVE
600000006,中国农业银行,中国农业银行杭州滨江支行,622200000000000006,上海启元贸易有限公司,PUBLIC,ACTIVE
600000007,兴业银行,兴业银行苏州虎丘支行,622200000000000007,上海恒越材料有限公司,PUBLIC,ACTIVE
600000008,中国工商银行,中国工商银行苏州虎丘支行,622200000000000008,北京嘉禾供应链制造有限公司,PUBLIC,ACTIVE
600000009,交通银行,交通银行杭州滨江支行,622200000000000009,北京嘉禾制造贸易有限公司,PUBLIC,ACTIVE
600000010,中国工商银行,中国工商银行杭州余杭支行,622200000000000010,北京远辰物流科技有限公司,PUBLIC,ACTIVE
600000011,中国建设银行,中国建设银行深圳宝安支行,622200000000000011,上海安拓制造科技有限公司,PUBLIC,ACTIVE
600000012,中国建设银行,中国建设银行上海徐汇支行,622200000000000012,上海嘉禾科技贸易有限公司,PUBLIC,ACTIVE
600000013,中国建设银行,中国建设银行苏州工业园支行,622200000000000013,深圳融信供应链贸易有限公司,PUBLIC,ACTIVE
600000014,兴业银行,兴业银行苏州工业园支行,622200000000000014,上海远辰医疗制造有限公司,PUBLIC,ACTIVE
600000015,中国农业银行,中国农业银行杭州滨江支行,622200000000000015,杭州融信科技制造有限公司,PUBLIC,ACTIVE
600000016,中国银行,中国银行苏州虎丘支行,622200000000000016,杭州智联科技科技有限公司,PUBLIC,ACTIVE
600000017,平安银行,平安银行深圳南山支行,622200000000000017,苏州恒越物流贸易有限公司,PUBLIC,ACTIVE
600000018,中国农业银行,中国农业银行深圳宝安支行,622200000000000018,黄军勇,PUBLIC,ACTIVE
600000019,中国银行,中国银行上海徐汇支行,622200000000000019,苏州启元供应链供应链有限公司,PUBLIC,ACTIVE
600000020,中国建设银行,中国建设银行深圳福田支行,622200000000000020,深圳嘉禾材料贸易有限公司,PUBLIC,ACTIVE
600000021,中国银行,中国银行北京丰台支行,622200000000000021,上海嘉禾电子供应链有限公司,PUBLIC,ACTIVE
600000022,中信银行,中信银行杭州滨江支行,622200000000000022,杭州启元材料有限公司,PUBLIC,ACTIVE
600000023,交通银行,交通银行苏州虎丘支行,622200000000000023,上海云启物流供应链有限公司,PUBLIC,ACTIVE
600000024,中信银行,中信银行深圳南山支行,622200000000000024,杭州华盛科技供应链有限公司,PUBLIC,ACTIVE
600000025,交通银行,交通银行深圳南山支行,622200000000000025,深圳恒越供应链有限公司,PUBLIC,ACTIVE
600000026,平安银行,平安银行苏州吴中支行,622200000000000026,杭州启元电子贸易有限公司,PUBLIC,ACTIVE
600000027,平安银行,平安银行北京朝阳支行,622200000000000027,深圳融信贸易有限公司,PUBLIC,ACTIVE
600000028,浦发银行,浦发银行北京海淀支行,622200000000000028,北京嘉禾材料贸易有限公司,PUBLIC,ACTIVE
600000029,兴业银行,兴业银行深圳福田支行,622200000000000029,杭州安拓材料供应链有限公司,PUBLIC,ACTIVE
600000030,中国工商银行,中国工商银行北京海淀支行,622200000000000030,苏州明川制造科技有限公司,PUBLIC,ACTIVE
600000031,平安银行,平安银行北京海淀支行,622200000000000031,北京明川科技贸易有限公司,PUBLIC,ACTIVE
600000032,中国农业银行,中国农业银行北京海淀支行,622200000000000032,北京华盛供应链贸易有限公司,PUBLIC,ACTIVE
600000033,中国农业银行,中国农业银行苏州吴中支行,622200000000000033,上海安拓医疗有限公司,PUBLIC,ACTIVE
600000034,中国银行,中国银行苏州吴中支行,622200000000000034,上海启元材料有限公司,PUBLIC,ACTIVE
600000035,兴业银行,兴业银行北京海淀支行,622200000000000035,深圳启元科技科技有限公司,PUBLIC,ACTIVE
600000036,中国农业银行,中国农业银行北京丰台支行,622200000000000036,张勇静,PUBLIC,ACTIVE
600000037,浦发银行,浦发银行上海闵行支行,622200000000000037,上海嘉禾制造制造有限公司,PUBLIC,ACTIVE
600000038,浦发银行,浦发银行上海闵行支行,622200000000000038,杭州明川医疗供应链有限公司,PUBLIC,ACTIVE
600000039,交通银行,交通银行北京朝阳支行,622200000000000039,杭州华盛物流科技有限公司,PUBLIC,ACTIVE
600000040,兴业银行,兴业银行杭州余杭支行,622200000000000040,北京云启制造供应链有限公司,PUBLIC,ACTIVE
600000041,平安银行,平安银行深圳福田支行,622200000000000041,苏州嘉禾电子供应链有限公司,PUBLIC,ACTIVE
600000042,中信银行,中信银行杭州余杭支行,622200000000000042,北京华盛供应链供应链有限公司,PUBLIC,ACTIVE
600000043,交通银行,交通银行苏州吴中支行,622200000000000043,北京安拓电子科技有限公司,PUBLIC,ACTIVE
600000044,招商银行,招商银行深圳宝安支行,622200000000000044,杭州明川科技制造有限公司,PUBLIC,ACTIVE
600000045,招商银行,招商银行杭州余杭支行,622200000000000045,苏州恒越电子供应链有限公司,PUBLIC,ACTIVE
600000046,中国建设银行,中国建设银行上海闵行支行,622200000000000046,杭州安拓科技贸易有限公司,PUBLIC,ACTIVE
600000047,交通银行,交通银行杭州滨江支行,622200000000000047,苏州融信物流贸易有限公司,PUBLIC,ACTIVE
600000048,中国银行,中国银行杭州西湖支行,622200000000000048,苏州嘉禾电子供应链有限公司,PUBLIC,ACTIVE
600000049,中国建设银行,中国建设银行深圳宝安支行,622200000000000049,陈敏,PUBLIC,ACTIVE
600000050,交通银行,交通银行上海闵行支行,622200000000000050,北京融信供应链贸易有限公司,PUBLIC,ACTIVE
600000051,兴业银行,兴业银行上海闵行支行,622200000000000051,上海融信贸易供应链有限公司,PUBLIC,ACTIVE
600000052,中信银行,中信银行深圳南山支行,622200000000000052,苏州恒越制造供应链有限公司,PUBLIC,ACTIVE
600000053,浦发银行,浦发银行杭州余杭支行,622200000000000053,苏州明川供应链科技有限公司,PUBLIC,ACTIVE
600000054,交通银行,交通银行杭州余杭支行,622200000000000054,吴超,PUBLIC,ACTIVE
600000055,招商银行,招商银行北京海淀支行,622200000000000055,杭州远辰科技有限公司,PUBLIC,ACTIVE
600000056,兴业银行,兴业银行苏州虎丘支行,622200000000000056,杭州启元供应链科技有限公司,PUBLIC,ACTIVE
600000057,招商银行,招商银行苏州工业园支行,622200000000000057,北京智联医疗有限公司,PUBLIC,ACTIVE
600000058,平安银行,平安银行杭州余杭支行,622200000000000058,深圳融信供应链制造有限公司,PUBLIC,ACTIVE
600000059,中国建设银行,中国建设银行北京海淀支行,622200000000000059,上海恒越贸易科技有限公司,PUBLIC,ACTIVE
600000060,中国农业银行,中国农业银行深圳福田支行,622200000000000060,上海智联材料贸易有限公司,PUBLIC,ACTIVE
600000061,平安银行,平安银行北京海淀支行,622200000000000061,上海远辰贸易制造有限公司,PUBLIC,ACTIVE
600000062,中国银行,中国银行深圳福田支行,622200000000000062,苏州启元物流科技有限公司,PUBLIC,ACTIVE
600000063,中国农业银行,中国农业银行深圳宝安支行,622200000000000063,杭州远辰电子制造有限公司,PUBLIC,ACTIVE
600000064,中国农业银行,中国农业银行杭州滨江支行,622200000000000064,杭州安拓医疗供应链有限公司,PUBLIC,ACTIVE
600000065,中国工商银行,中国工商银行上海浦东新支行,622200000000000065,深圳安拓贸易贸易有限公司,PUBLIC,ACTIVE
600000066,中国银行,中国银行深圳宝安支行,622200000000000066,深圳恒越供应链有限公司,PUBLIC,ACTIVE
600000067,平安银行,平安银行杭州滨江支行,622200000000000067,深圳启元供应链制造有限公司,PUBLIC,ACTIVE
600000068,交通银行,交通银行深圳宝安支行,622200000000000068,苏州明川科技供应链有限公司,PUBLIC,ACTIVE
600000069,中国银行,中国银行深圳宝安支行,622200000000000069,杭州安拓材料科技有限公司,PUBLIC,ACTIVE
600000070,平安银行,平安银行北京丰台支行,622200000000000070,苏州启元电子制造有限公司,PUBLIC,ACTIVE
600000071,中信银行,中信银行北京朝阳支行,622200000000000071,深圳恒越医疗制造有限公司,PUBLIC,ACTIVE
600000072,交通银行,交通银行杭州西湖支行,622200000000000072,杭州华盛材料有限公司,PUBLIC,ACTIVE
600000073,兴业银行,兴业银行上海浦东新支行,622200000000000073,深圳远辰材料贸易有限公司,PUBLIC,ACTIVE
600000074,浦发银行,浦发银行杭州滨江支行,622200000000000074,深圳融信医疗制造有限公司,PUBLIC,ACTIVE
600000075,中国工商银行,中国工商银行深圳南山支行,622200000000000075,北京融信物流供应链有限公司,PUBLIC,ACTIVE
600000076,平安银行,平安银行深圳福田支行,622200000000000076,苏州嘉禾贸易贸易有限公司,PUBLIC,ACTIVE
600000077,中国建设银行,中国建设银行杭州西湖支行,622200000000000077,王娜琳,PUBLIC,ACTIVE
600000078,中国建设银行,中国建设银行苏州吴中支行,622200000000000078,杭州恒越制造制造有限公司,PUBLIC,ACTIVE
600000079,兴业银行,兴业银行北京丰台支行,622200000000000079,杭州恒越贸易科技有限公司,PUBLIC,ACTIVE
600000080,平安银行,平安银行苏州虎丘支行,622200000000000080,深圳明川物流科技有限公司,PUBLIC,ACTIVE
600000081,平安银行,平安银行上海闵行支行,622200000000000081,苏州融信贸易科技有限公司,PUBLIC,ACTIVE
600000082,招商银行,招商银行上海闵行支行,622200000000000082,苏州华盛贸易贸易有限公司,PUBLIC,ACTIVE
600000083,中国银行,中国银行上海闵行支行,622200000000000083,深圳华盛材料科技有限公司,PUBLIC,ACTIVE
600000084,中国银行,中国银行北京丰台支行,622200000000000084,深圳远辰供应链贸易有限公司,PUBLIC,ACTIVE
600000085,兴业银行,兴业银行苏州虎丘支行,622200000000000085,北京恒越材料制造有限公司,PUBLIC,ACTIVE
600000086,中国农业银行,中国农业银行上海浦东新支行,622200000000000086,上海启元医疗科技有限公司,PUBLIC,ACTIVE
600000087,中国农业银行,中国农业银行深圳南山支行,622200000000000087,北京安拓供应链制造有限公司,PUBLIC,ACTIVE
600000088,中国工商银行,中国工商银行上海徐汇支行,622200000000000088,深圳启元电子制造有限公司,PUBLIC,ACTIVE
600000089,平安银行,平安银行深圳福田支行,622200000000000089,杭州远辰物流供应链有限公司,PUBLIC,ACTIVE
600000090,浦发银行,浦发银行上海徐汇支行,622200000000000090,深圳安拓医疗科技有限公司,PUBLIC,ACTIVE
600000091,中国银行,中国银行深圳宝安支行,622200000000000091,上海明川材料贸易有限公司,PUBLIC,ACTIVE
600000092,中国建设银行,中国建设银行上海浦东新支行,622200000000000092,深圳安拓制造贸易有限公司,PUBLIC,ACTIVE
600000093,中国银行,中国银行杭州西湖支行,622200000000000093,北京云启医疗供应链有限公司,PUBLIC,ACTIVE
600000094,兴业银行,兴业银行苏州工业园支行,622200000000000094,上海智联物流科技有限公司,PUBLIC,ACTIVE
600000095,招商银行,招商银行深圳南山支行,622200000000000095,深圳智联材料科技有限公司,PUBLIC,ACTIVE
600000096,中国工商银行,中国工商银行北京丰台支行,622200000000000096,杭州智联材料有限公司,PUBLIC,ACTIVE
600000097,中国银行,中国银行深圳福田支行,622200000000000097,北京嘉禾医疗科技有限公司,PUBLIC,ACTIVE
600000098,兴业银行,兴业银行杭州滨江支行,622200000000000098,杭州明川材料科技有限公司,PUBLIC,ACTIVE
600000099,兴业银行,兴业银行上海徐汇支行,622200000000000099,北京云启供应链科技有限公司,PUBLIC,ACTIVE
600000100,中国农业银行,中国农业银行上海徐汇支行,622200000000000100,苏州远辰制造贸易有限公司,PUBLIC,ACTIVE
600000101,浦发银行,浦发银行上海闵行支行,622200000000000101,上海安拓材料有限公司,PUBLIC,ACTIVE
600000102,中国工商银行,中国工商银行北京海淀支行,622200000000000102,苏州启元物流有限公司,PUBLIC,ACTIVE
600000103,平安银行,平安银行杭州余杭支行,622200000000000103,苏州华盛电子贸易有限公司,PUBLIC,ACTIVE
600000104,交通银行,交通银行北京丰台支行,622200000000000104,苏州远辰供应链贸易有限公司,PUBLIC,ACTIVE
600000105,中国农业银行,中国农业银行苏州吴中支行,622200000000000105,苏州云启医疗供应链有限公司,PUBLIC,ACTIVE
600000106,中信银行,中信银行深圳南山支行,622200000000000106,苏州安拓贸易制造有限公司,PUBLIC,ACTIVE
